[10.254446029663086, 2.4248251914978027]
[6.699888706207275, 1.5462266206741333]
Glass1 Predictions mean: 2.28, min: 2.11, max: 2.68, range: 0.58 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.1, max: 2.67, range: 0.57 - Actual: 0.2
Glass1 Predictions mean: 2.29, min: 2.1, max: 2.68, range: 0.58 - Actual: 0.2
Glass1 Predictions mean: 2.29, min: 2.09, max: 2.68, range: 0.59 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.08, max: 2.68, range: 0.6 - Actual: 0.2
Glass1 Predictions mean: 2.29, min: 2.11, max: 2.67, range: 0.57 - Actual: 0.2
Glass1 Predictions mean: 2.29, min: 2.11, max: 2.67, range: 0.56 - Actual: 0.2
Glass1 Predictions mean: 2.29, min: 2.13, max: 2.68, range: 0.55 - Actual: 0.2
Glass1 Predictions mean: 2.29, min: 2.11, max: 2.68, range: 0.57 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.09, max: 2.68, range: 0.59 - Actual: 0.2
Glass1 Predictions mean: 2.29, min: 2.13, max: 2.68, range: 0.55 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.1, max: 2.67, range: 0.58 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.1, max: 2.67, range: 0.58 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.1, max: 2.67, range: 0.57 - Actual: 0.2
Glass1 Predictions mean: 2.28, min: 2.1, max: 2.67, range: 0.57 - Actual: 0.2
Glass1 Predictions mean: 2.29, min: 2.11, max: 2.67, range: 0.57 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 2.04, max: 2.38, range: 0.34 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 2.05, max: 2.38, range: 0.34 - Actual: 0.2
Glass1 Predictions mean: 2.23, min: 2.04, max: 2.43, range: 0.38 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 2.04, max: 2.38, range: 0.34 - Actual: 0.2
Glass1 Predictions mean: 2.25, min: 2.03, max: 2.42, range: 0.39 - Actual: 0.2
Glass1 Predictions mean: 2.24, min: 2.02, max: 2.43, range: 0.41 - Actual: 0.2
Glass1 Predictions mean: 2.23, min: 2.02, max: 2.43, range: 0.41 - Actual: 0.2
